theater_name,theater_addr,movie_name,showtimes
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Incarnate,10:00pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Incarnate,12:00am
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Allied,9:00pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Allied,9:50pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Bad Santa 2,8:10pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Bad Santa 2,10:40pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Moana 3D,9:30pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Moana,10:10pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Moana,11:50pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Fantastic Beasts and Where to Find Them 3D,10:20pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Fantastic Beasts and Where to Find Them 3D,11:20pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Fantastic Beasts and Where to Find Them,9:40pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Almost Christmas,8:20pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Almost Christmas,11:10pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Arrival,10:30pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Doctor Strange,10:45pm
Regal L.A. Live A Barco Innovation Center,1000 W. Olympic Blvd.	 Los Angeles	 CA 90015,Hacksaw Ridge,11:00pm
