cuisines,establishment_types,currency,featured_image,average_cost_for_two,deeplink,thumb,is_delivering_now,menu_url,photos_url,user_rating,offers,location,has_table_booking,events_url,price_range,name,has_online_delivery,url
American  Seafood  Steak,,$,https://b.zmtcdn.com/data/pictures/8/16817448/b9ce8769246044b6b7952c72c6586af5_featured_v2.jpg,70,zomato://restaurant/16817448,https://b.zmtcdn.com/data/pictures/8/16817448/b9ce8769246044b6b7952c72c6586af5_featured_v2.jpg,0,https://www.zomato.com/los-angeles/mastros-steakhouse-beverly-hills/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/mastros-steakhouse-beverly-hills/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.1,,246 N Canon Dr  Beverly Hills  CA 90210,0,https://www.zomato.com/los-angeles/mastros-steakhouse-beverly-hills/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4,Mastro's Steakhouse,0,https://www.zomato.com/los-angeles/mastros-steakhouse-beverly-hills?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Southern,,$,https://b.zmtcdn.com/data/pictures/8/16821118/94685d0e4d23db07dd7e73c21ad03ed2_featured_v2.jpg,10,zomato://restaurant/16821118,https://b.zmtcdn.com/data/pictures/8/16821118/94685d0e4d23db07dd7e73c21ad03ed2_featured_v2.jpg,0,https://www.zomato.com/los-angeles/roscoes-house-of-chicken-waffles-hollywood/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/roscoes-house-of-chicken-waffles-hollywood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.4,,1514 N Gower St  Hollywood  CA 92802,0,https://www.zomato.com/los-angeles/roscoes-house-of-chicken-waffles-hollywood/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1,Roscoe's House of Chicken & Waffles,0,https://www.zomato.com/los-angeles/roscoes-house-of-chicken-waffles-hollywood?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
American  Burger  Fast Food,,$,https://b.zmtcdn.com/data/pictures/5/16814205/e3aef16449a946d6a141e868bec6987d_featured_v2.jpg,10,zomato://restaurant/16814205,https://b.zmtcdn.com/data/pictures/5/16814205/e3aef16449a946d6a141e868bec6987d_featured_v2.jpg,0,https://www.zomato.com/los-angeles/in-n-out-burger-hollywood/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/in-n-out-burger-hollywood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.2,,7009 Sunset Boulevard  Los Angeles  CA 90028,0,https://www.zomato.com/los-angeles/in-n-out-burger-hollywood/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1,In-N-Out Burger,0,https://www.zomato.com/los-angeles/in-n-out-burger-hollywood?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Breakfast  Sandwich,,$,https://b.zmtcdn.com/data/pictures/5/16819715/c2f908c7f04c5bc77588ee2ca779931a_featured_v2.jpg,10,zomato://restaurant/16819715,https://b.zmtcdn.com/data/pictures/5/16819715/c2f908c7f04c5bc77588ee2ca779931a_featured_v2.jpg,0,https://www.zomato.com/los-angeles/philippe-the-original-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/philippe-the-original-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.4,,1001 N Alameda St  Los Angeles  CA 90012,0,https://www.zomato.com/los-angeles/philippe-the-original-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1,Philippe  The Original,0,https://www.zomato.com/los-angeles/philippe-the-original-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
German,,$,https://b.zmtcdn.com/data/pictures/6/16830386/0055292f326faf4c167fca73df79f25d_featured_v2.jpg,10,zomato://restaurant/16830386,https://b.zmtcdn.com/data/pictures/6/16830386/0055292f326faf4c167fca73df79f25d_featured_v2.jpg,0,https://www.zomato.com/los-angeles/wurstküche-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/wurstküche-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.9,,800 E 3rd St  Los Angeles  CA 90013,0,https://www.zomato.com/los-angeles/wurstküche-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1,Wurstküche,0,https://www.zomato.com/los-angeles/wurstküche-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Desserts,,$,https://b.zmtcdn.com/data/pictures/6/16822176/61baf440c7d0e80a3bd93cf4c89bc604_featured_v2.jpg,10,zomato://restaurant/16822176,https://b.zmtcdn.com/data/pictures/6/16822176/61baf440c7d0e80a3bd93cf4c89bc604_featured_v2.jpg,0,https://www.zomato.com/los-angeles/sprinkles-cupcakes-beverly-hills/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/sprinkles-cupcakes-beverly-hills/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.3,,9635 S Santa Monica Blvd  Beverly Hills  CA 90210,0,https://www.zomato.com/los-angeles/sprinkles-cupcakes-beverly-hills/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1,Sprinkles Cupcakes,0,https://www.zomato.com/los-angeles/sprinkles-cupcakes-beverly-hills?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
American  Burger,,$,https://b.zmtcdn.com/data/pictures/9/16819859/bfce681ab69fd2da7c2d4796ffef56e0_featured_v2.jpg,10,zomato://restaurant/16819859,https://b.zmtcdn.com/data/pictures/9/16819859/bfce681ab69fd2da7c2d4796ffef56e0_featured_v2.jpg,0,https://www.zomato.com/los-angeles/pinks-hot-dogs-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/pinks-hot-dogs-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.1,,709 N La Brea Ave  Los Angeles  CA 90038,0,https://www.zomato.com/los-angeles/pinks-hot-dogs-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1,Pink's Hot Dogs,0,https://www.zomato.com/los-angeles/pinks-hot-dogs-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Italian,,$,https://b.zmtcdn.com/data/pictures/4/16831684/65b7fadec5b7a1d8232a5e4f4bcc8e15_featured_v2.jpg,40,zomato://restaurant/16831684,https://b.zmtcdn.com/data/pictures/4/16831684/65b7fadec5b7a1d8232a5e4f4bcc8e15_featured_v2.jpg,0,https://www.zomato.com/los-angeles/bottega-louie-downtown/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/bottega-louie-downtown/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.5,,700 S Grand Ave  Los Angeles  CA 90017,0,https://www.zomato.com/los-angeles/bottega-louie-downtown/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,3,Bottega Louie,0,https://www.zomato.com/los-angeles/bottega-louie-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
American  Breakfast  Coffee and Tea,,$,https://b.zmtcdn.com/data/pictures/8/16813268/a58a57320ae0b83ab7282899ddd7332c_featured_v2.jpg,25,zomato://restaurant/16813268,https://b.zmtcdn.com/data/pictures/8/16813268/a58a57320ae0b83ab7282899ddd7332c_featured_v2.jpg,0,https://www.zomato.com/los-angeles/the-griddle-cafe-west-hollywood/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/the-griddle-cafe-west-hollywood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.5,,7916 W Sunset Blvd  West Hollywood  CA 90046,0,https://www.zomato.com/los-angeles/the-griddle-cafe-west-hollywood/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,2,The Griddle Cafe,0,https://www.zomato.com/los-angeles/the-griddle-cafe-west-hollywood?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
American,,$,https://b.zmtcdn.com/data/pictures/9/16825829/c85945df8a85fcf7551126bb3e39b9d0_featured_v2.jpg,25,zomato://restaurant/16825829,https://b.zmtcdn.com/data/pictures/9/16825829/c85945df8a85fcf7551126bb3e39b9d0_featured_v2.jpg,0,https://www.zomato.com/los-angeles/gjelina-venice/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/gjelina-venice/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.4,,1429 Abbot Kinney Blvd  Venice  CA 90291,0,https://www.zomato.com/los-angeles/gjelina-venice/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,2,Gjelina,0,https://www.zomato.com/los-angeles/gjelina-venice?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
